N°,Código,Nivel,Puntos,Dimensión,Tema,Buena Práctica,Acción,Medio de Verificación,Link
36,P036,Avanzado,4,Ambiente,Biodiversidad,Establecer un ordenamiento territorial y línea base,"El predio cuenta con un diagnóstico donde se identifica la biodiversidad existente y las áreas de alto valor ecológico, dentro de su propiedad.","Diagnóstico de la biodiversidad con los siguientes puntos:  - Mapa con identificación de áreas en la explotación con alto valor ecológico (ej.: lagos, estanques y cursos de agua, corredores de vida silvestre, humedales, pastizales ricos en especies, etc.).  - Catastro de la biodiversidad existente en el lugar, por ejemplo: principales especies presentes en el entorno (aves, mamíferos, árboles, insectos, hongos, arbustos, etc.).  - Registro fotográfico con georreferenciación del estado inicial de las zonas de vegetación natural de conectividad, márgenes y límites de los campos, zonas de amortiguamiento ribereño y áreas de conservación con vegetación nativa.",https://ciruelacertificada.cl/?s=P036&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
37,P037,Avanzado,4,Ambiente,Biodiversidad,Establecer un ordenamiento territorial y línea base,"El predio cuenta con un plan para la gestión de la biodiversidad que propone medidas de conservación, utilizando información rescatada en el diagnóstico realizado previamente. Este plan es evaluado y actualizado cada 5 años.","Plan de gestión con protocolos para la implementación de las siguientes medidas:  - Línea base de sitios de interés.  - Priorización y definición de objetivos de conservación.  - Medidas de conectividad, restauración y rehabilitación.  - Medidas de manejo y control de especies exóticas.  - Plan de ordenamiento predial.  Dicho documento debe tener una fecha de elaboración inferior a 5 años.",https://ciruelacertificada.cl/?s=P037&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
38,P038,Avanzado,4,Ambiente,Biodiversidad,"Fomentar la participación en acciones para la protección y conservación de ecosistemas, hábitats o especies","El predio capacita a quienes trabajan permanentemente en la empresa, sobre el plan de gestión de la biodiversidad propuesto, generando un listado de acciones a tomar para potenciar la biodiversidad.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P038&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
39,P039,Avanzado,4,Ambiente,Biodiversidad,"Fomentar la participación en acciones para la protección y conservación de ecosistemas, hábitats o especies","El predio mantiene un diálogo permanente con las empresas relacionadas al rubro en el territorio, con el objetivo de implementar en conjunto, medidas de conservación y mitigación que les permitan tener un plan de gestión de manera asociativa.",Actas de reuniones de mesas de trabajo con empresas en el territorio.,https://ciruelacertificada.cl/?s=P039&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
40,P040,Básico,2,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats","El predio cuenta con márgenes y límites de los campos que se gestionan, de manera de asegurar su conservación, minimizando su intervención.","Protocolo de gestión y conservación de márgenes y límites de los campos, definiendo medidas preventivas.",https://ciruelacertificada.cl/?s=P040&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
41,P041,Básico,2,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats","El predio mantiene la conectividad entre la vegetación natural, potenciando su complejidad estructural, a través de cercos vivos, corredores biológicos, franjas ribereñas, entre otras.",Inspección visual de la existencia de vegetación natural de conectividad.,https://ciruelacertificada.cl/?s=P041&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
42,P042,Básico,2,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats","El predio protege las zonas de amortiguamiento ribereño (dentro de su propiedad), en el caso de encontrarse a menos de 50 metros de un cuerpo de agua o ecosistema acuático.","Inspección visual de los márgenes ribereños o franjas de amortiguación, los que deben ser mayores a 5 m en cursos de agua y mayores a 10 m en manantiales y cuerpos de agua.",https://ciruelacertificada.cl/?s=P042&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
43,P043,Intermedio,3,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats","El predio identifica y monitorea las especies exóticas invasoras, en base al listado descrito en el diagnóstico.",Registro de monitoreo de especies exóticas invasoras con la siguiente información:  * Fecha del hallazgo.  * Nombre de la especie.  * Ubicación.  * N° de individuos visualizados.  * Daño provocado.  * Medidas de mitigación.,https://ciruelacertificada.cl/?s=P043&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
44,P044,Intermedio,3,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats",El predio mantiene áreas de conservación con vegetación nativa.,Son válidos los siguientes documentos:  - Mapa que identifique zonas con vegetación nativa.  - Registro del comparativo de las fotografías de estado inicial con respecto a la situación actual.,https://ciruelacertificada.cl/?s=P044&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
45,P045,Intermedio,3,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats",El predio implementa medidas para proteger especies de fauna silvestre.,"Inspección visual de señaléticas de medidas de protección de fauna silvestre con respecto a:  - No cazar, matar, pescar o recolectar animales con prohibición según la legislación.  - No retener la vida silvestre en cautiverio.  - No realizar labores de limpieza de zanjas o poda de corta vientos en época de anidación de aves.  - Limitar el libre movimiento de animales domésticos en áreas de producción.  - Protocolo de acción en el caso de encontrar una especie nativa herida.",https://ciruelacertificada.cl/?s=P045&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
46,P046,Intermedio,3,Ambiente,Biodiversidad,"Implementar sistemas, programas o acciones para el manejo, protección y mantención de ecosistemas, especies y hábitats","El predio implementa procedimientos de reforestación o replantación, en caso de ser requerida la remoción de árboles dentro de la misma explotación. Esta reforestación debe realizarse con especies nativas de bajo requerimiento hídrico.",Protocolo de reforestación que incluya medidas de cuidado de árboles reforestados.,https://ciruelacertificada.cl/?s=P046&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
47,P047,Fundamental,5,Ambiente,Insumos,Registrar las aplicaciones de productos agroquímicos,El predio registra las aplicaciones de agroquímicos realizadas.,Registro actualizado de aplicaciones con la siguiente información:  * Fecha y hora.  * Sector o cuartel.  * Nombre del producto.  * Color de la etiqueta.  * Ingrediente activo.  * Dosis.  * Método de aplicación.  * Objetivo de la aplicación.  * Período de carencia y de reingreso.  * Responsable.,https://ciruelacertificada.cl/?s=P047&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
48,P048,Intermedio,3,Ambiente,Insumos,Disminuir el impacto ambiental de los agroquímicos,"El predio monitorea plagas, enfermedades y malezas, para determinar el tipo de intervención a realizar.","Registro de monitoreo de plagas, enfermedades y malezas actualizado mensualmente con la siguiente información:  * Fecha del hallazgo.  * Nombre de la especie.  * Ubicación.  * N° de individuos visualizados.  * Daño provocado.  * Umbral de daño máximo.  * Medidas de control.",https://ciruelacertificada.cl/?s=P048&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
49,P049,Intermedio,3,Ambiente,Insumos,Disminuir el impacto ambiental de los agroquímicos,"El predio realiza un plan de manejo de plagas, enfermedades y malezas, en base a un umbral de daño definido, el cual debe estar asociado al monitoreo realizado.","Protocolo de manejo de plagas que especifique el umbral de daño máximo para las plagas, enfermedades y malezas más comunes, y las aplicaciones a efectuar una vez superado el umbral de daño definido.",https://ciruelacertificada.cl/?s=P049&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
50,P050,Avanzado,4,Ambiente,Insumos,Disminuir el impacto ambiental de los agroquímicos,"El predio selecciona los productos agroquímicos en base a su impacto ambiental, prefiriendo aquellos que generen menor impacto (etiqueta verde o azul).",Registro actualizado de aplicaciones con la siguiente información:  * Fecha y hora.  * Sector o cuartel.  * Nombre del producto.  * Color de la etiqueta.  * Ingrediente activo.  * Dosis.  * Método de aplicación.  * Objetivo de la aplicación.  * Período de carencia y de reingreso.  * Responsable.,https://ciruelacertificada.cl/?s=P050&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
51,P051,Avanzado,4,Ambiente,Insumos,Disminuir el impacto ambiental de los agroquímicos,"El predio registra el índice de impacto ambiental generado por los productos agroquímicos utilizados en la producción, prefiriendo los que tienen menor impacto para la aplicación correspondiente.","Registro de pesticidas utilizados durante la temporada, incluyendo el Score del EIQ de cada uno de ellos. Se debe verificar que se haya utilizado el producto con menor Score para el tipo de aplicación, en base a la lista de agroquímicos con autorización vigente SAG para ciruelo.  *El cálculo del EIQ se puede realizar a través de la plataforma elaborada por la universidad de Cornell https://cals.cornell.edu/new-york-state-integrated-pest-management/risk-assessment/eiq/eiq-calculator  ** Se dejará disponible el cálculo de los EIQ de los productos agroquímicos actualmente autorizados por el SAG para ciruelo europeo.",https://ciruelacertificada.cl/?s=P051&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
52,P052,Fundamental,5,Ambiente,Insumos,Almacenar adecuadamente productos agroquímicos,"El predio cuenta con una zona de almacenamiento para productos agroquímicos y combustibles, para no poner en riesgo a las personas y garantizar la inocuidad alimentaria.","Inspección visual de que exista una zona de almacenamiento de agroquímicos y combustibles identificada, que posea piso, indicación de almacenamiento de productos separado según tipo y señalética con indicaciones en caso de emergencia de derrames.",https://ciruelacertificada.cl/?s=P052&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
53,P053,Básico,2,Ambiente,Insumos,Almacenar adecuadamente productos agroquímicos,El predio mantiene un inventario actualizado de la existencia de agroquímicos en la zona de almacenamiento.,"Inventario actualizado, al menos una vez por temporada, de los productos almacenados con su etiqueta y que contenga la siguiente información:  - Nombre del producto.  - Fecha de compra.  - Número de lote y proveedor.  - Unidades adquiridas.  - Volumen utilizado.  - Fecha de caducidad o vencimiento.  - Ingrediente activo.  - Color de la etiqueta.",https://ciruelacertificada.cl/?s=P053&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
54,P054,Intermedio,3,Ambiente,Insumos,Almacenar adecuadamente productos agroquímicos,"El predio cuenta con un kit de emergencia con señalética informativa para casos de derrames de productos agroquímicos, en el sector de lavado y zonas de almacenamiento.","Inspección visual de:  - Señalética con indicaciones en el caso de emergencia por derrames.  - Kit de emergencia en la zona de lavado y almacenamiento, verificando que cuente con:  * Señalética con protocolo de limpieza y números de emergencia.  * Sector de lavado para manos y ojos (lavatorio).  * Material de absorción para evitar propagación del derrame, por ejemplo: arena.  * Sistema manual de extinción de incendios, a base de extintores compatibles con los productos almacenados.",https://ciruelacertificada.cl/?s=P054&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
55,P055,Avanzado,4,Ambiente,Insumos,Realizar limpieza y mantención adecuada de productos y equipos de aplicación de agroquímicos,El predio realiza mantenciones y monitorea fugas de sus equipos con el objetivo de asegurar una adecuada calidad en la aplicación de agroquímicos.,"Check list o registro de mantención de equipos de aplicación, que cuente con la siguiente información:  * • Fecha  * • Tipo de evento  * • Equipo o infraestructura  * • Detalle labores  * • Responsable  En el caso de que esta labor la realice una empresa externa, debe existir un contrato e informe que acredite la realización de las actividades ejecutadas.",https://ciruelacertificada.cl/?s=P055&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
56,P056,Fundamental,5,Ambiente,Insumos,Emplear de manera segura los productos agroquímicos en el predio,El predio se rige por las dosis indicadas en la etiqueta del fabricante para la aplicación de agroquímicos.,Registro actualizado de aplicaciones con la siguiente información:  * Fecha y hora.  * Sector o cuartel.  * Nombre del producto.  * Ingrediente activo.  * Dosis.  * Dosis recomendada por fabricante.  * Método de aplicación.  * Objetivo de la aplicación.  * Período de carencia y de reingreso.  * Responsable.,https://ciruelacertificada.cl/?s=P056&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
57,P057,Avanzado,4,Ambiente,Insumos,Emplear de manera segura los productos agroquímicos en el predio,"El predio considera las condiciones climáticas para las aplicaciones de agroquímicos, realizándolas bajo las siguientes condiciones:  - Temperaturas entre 10° y 30°C.  - Velocidad del viento entre 3 y 15 km/h.  - Ausencia de lluvia entre 2 a 8 horas después de la aplicación.","Registro actualizado de aplicaciones con la siguiente información:  * Fecha y hora.  * Factores meteorológicos (temperatura, velocidad del viento y evento de lluvia).  * Sector o cuartel.  * Nombre del producto.  * Ingrediente activo.  * Dosis.  * Dosis recomendada por fabricante.  * Método de aplicación.  * Objetivo de la aplicación.  * Período de carencia y de reingreso.  * Responsable.  Se sugiere utilizar estación meteorológica propia o datos de portales como http://agroclima.cl o https://agrometeorologia.cl/",https://ciruelacertificada.cl/?s=P057&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
58,P058,Fundamental,5,Ambiente,Residuos,Contar con un plan de manejo de residuos,El predio identifica los residuos sólidos generados y las posibles fuentes de contaminación.,"Registro actualizado que contiene la siguiente información:  - Identificación del tipo de residuo o agente contaminante.  - Identificación de la cantidad producida mensualmente.  - Identificación de los residuos peligrosos.  - Ubicación dentro de la planta.  - Destino del residuo (reciclaje, reúso, eliminación, etc.).",https://ciruelacertificada.cl/?s=P058&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
59,P059,Avanzado,4,Ambiente,Residuos,Contar con un plan de manejo de residuos,El predio ha generado y documentado un plan de manejo de residuos.,"Plan de manejo de residuos que contenga los siguientes contenidos:  * Protocolos de almacenamiento de residuos peligrosos.  * Manejo de residuos para reciclaje o reutilización.  * Medidas de mitigación en caso de contaminación.  * Descripción del proceso y los puntos en que se generan residuos.  * Procedimientos internos para recoger y almacenar los residuos.  •Identificación de alternativas de minimización, valorización y eliminación de residuos.",https://ciruelacertificada.cl/?s=P059&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
60,P060,Fundamental,5,Ambiente,Residuos,Minimizar la contaminación derivada de la gestión de los residuos,"El predio manipula los residuos (sólidos y/o líquidos) de manera tal, que no generen derrames que contaminen el suelo y/o el agua.","Inspección visual del área de almacenamiento, corroborando que los residuos se encuentren dentro de los contenedores correspondientes, evitando el contacto directo con el suelo, con el objetivo de no generar contaminación (ejemplo: radier y techo).",https://ciruelacertificada.cl/?s=P060&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
61,P061,Básico,2,Ambiente,Residuos,Minimizar la contaminación derivada de la gestión de los residuos,El predio implementa un protocolo para minimizar la contaminación atmosférica por material particulado al interior de sus dependencias.,"Protocolo que cuente con las siguientes medidas para minimizar la contaminación:  * No se permite la quema ni incineración de los desechos derivados de la producción.  * Los caminos son pavimentados o se aplica un suspensor de polvo químico o gravilla para evitar el aumento de la polución.  * Se realiza mantención a los equipos que utilizan combustibles fósiles internos, para evitar contaminación debido a fallas mecánicas.",https://ciruelacertificada.cl/?s=P061&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
62,P062,Intermedio,3,Ambiente,Residuos,Minimizar la contaminación derivada de la gestión de los residuos,El predio cuenta con señaléticas para las situaciones de emergencia por contaminación por derrame de residuos líquidos.,"Inspección visual de señaléticas en lugares de riesgo de contaminación, que contemple los siguientes elementos:  - Información sobre acciones de mitigación inmediata.  - Información de contacto con servicios de emergencia y autoridades locales.",https://ciruelacertificada.cl/?s=P062&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
63,P063,Intermedio,3,Ambiente,Residuos,Minimizar la contaminación derivada de la gestión de los residuos,El predio capacita a su personal en la implementación del protocolo de gestión de emergencias por contaminación por derrame de residuos líquidos.,"Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P063&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
64,P064,Fundamental,5,Ambiente,Residuos,Gestionar adecuadamente los residuos derivados de la producción,"El predio somete a un triple lavado los envases derivados de la aplicación de agroquímicos, en conformidad con lo descrito en el programa “Campo limpio”. Posteriormente, son entregados o retirados por empresas u organizaciones encargadas de su revalorización.",Certificados de recepción de envases.  Más información respecto a la técnica de triple lavado y de lugares de recepción de,https://ciruelacertificada.cl/?s=P064&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
65,P065,Intermedio,3,Ambiente,Residuos,Gestionar adecuadamente los residuos derivados de la producción,"El predio almacena los residuos peligrosos, (por ejemplo: los aceites lubricantes derivados de vehículos y maquinarias utilizadas en la explotación), en bodegas exclusivas para este tipo de material.",Inspección visual de zona de almacenamiento de residuos peligrosos.,https://ciruelacertificada.cl/?s=P065&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
66,P066,Avanzado,4,Ambiente,Residuos,Gestionar adecuadamente los residuos derivados de la producción,"El predio gestiona los residuos de aceites lubricantes derivados de vehículos y maquinarias utilizadas en la explotación, a través de empresas especializadas en su posterior valorización.","Informe que certifique el retiro y la posterior reutilización de los residuos, realizado por la empresa autorizada a cargo de la gestión.",https://ciruelacertificada.cl/?s=P066&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
67,P067,Fundamental,5,Ambiente,Residuos,Gestionar residuos inorgánicos a través de técnicas de valorización y reciclaje,"La planta disminuye sus residuos enviados a gestores autorizados a través de la segregación, almacenamiento y entrega para su valorización, basándose en sus características y en las opciones de reciclaje disponibles.",Inspección visual de la existencia de contenedores y señaléticas informativas con respecto a la gestión de residuos para reciclaje de:  - PET y otros plásticos.  - Tetra brick.  - Papeles y cartones.  - Vidrios.  - Latas y otros metales.  - Residuos peligrosos.  - Residuos no reciclables.,https://ciruelacertificada.cl/?s=P067&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
68,P068,Intermedio,3,Ambiente,Residuos,Gestionar residuos inorgánicos a través de técnicas de valorización y reciclaje,El predio capacita al personal sobre la relevancia del reciclaje y los procedimientos apropiados para su implementación.,"Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P068&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
